id,text,label,category
23,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
24,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
25,Yeni çıkan Python güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
26,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
27,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
28,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
29,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
30,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
31,Yeni çıkan Docker güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
32,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
33,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
34,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
35,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
36,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
37,Yeni çıkan Docker güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
38,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
39,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
40,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
41,Uyanın! Dış güçler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
42,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
43,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
44,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
45,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
46,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
47,Uyanın! Sistem bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
48,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
49,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
50,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
51,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
52,Yeni çıkan Python güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
53,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
54,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
55,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
56,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
57,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
58,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
59,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
60,Medya bunu saklıyor ama gerçek şu: iklim değişikliği tamamen bir yalandan ibaret!,1,Manipulative
61,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
62,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
63,Eğer Dış güçler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
64,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
65,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
66,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
67,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
68,Medya bunu saklıyor ama gerçek şu: seçimler tamamen bir yalandan ibaret!,1,Manipulative
69,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
70,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
71,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
72,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
73,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
74,Uyanın! Dış güçler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
75,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
76,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
77,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
78,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
79,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
80,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
81,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
82,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
83,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
84,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
85,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
86,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
87,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
88,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
89,Medya bunu saklıyor ama gerçek şu: iklim değişikliği tamamen bir yalandan ibaret!,1,Manipulative
90,Yeni çıkan React Native güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
91,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
92,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
93,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
94,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
95,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
96,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
97,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
98,Yeni çıkan Python güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
99,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
100,Yeni çıkan React Native güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
101,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
102,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
103,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
104,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
105,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
106,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
107,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
108,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
109,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
110,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
111,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
112,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
113,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
114,Eğer Dış güçler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
115,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
116,Eğer Dış güçler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
117,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
118,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
119,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
120,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
121,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
122,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
123,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
124,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
125,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
126,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
127,Medya bunu saklıyor ama gerçek şu: iklim değişikliği tamamen bir yalandan ibaret!,1,Manipulative
128,Uyanın! Dış güçler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
129,Eğer Dış güçler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
130,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
131,Eğer Dış güçler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
132,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
133,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
134,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
135,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
136,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
137,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
138,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
139,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
140,Yeni çıkan Docker güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
141,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
142,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
143,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
144,Medya bunu saklıyor ama gerçek şu: seçimler tamamen bir yalandan ibaret!,1,Manipulative
145,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
146,Medya bunu saklıyor ama gerçek şu: seçimler tamamen bir yalandan ibaret!,1,Manipulative
147,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
148,Medya bunu saklıyor ama gerçek şu: aşılar tamamen bir yalandan ibaret!,1,Manipulative
149,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
150,Medya bunu saklıyor ama gerçek şu: iklim değişikliği tamamen bir yalandan ibaret!,1,Manipulative
151,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
152,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
153,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
154,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
155,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
156,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
157,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
158,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
159,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
160,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
161,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
162,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
163,Eğer Şirketler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
164,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
165,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
166,Uyanın! Malum kişiler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
167,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
168,Eğer Malum kişiler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
169,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
170,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
171,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
172,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
173,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
174,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
175,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
176,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
177,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
178,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
179,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
180,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
181,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
182,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
183,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
184,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
185,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
186,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
187,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
188,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
189,Yeni çıkan Python güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
190,Medya bunu saklıyor ama gerçek şu: seçimler tamamen bir yalandan ibaret!,1,Manipulative
191,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
192,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
193,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
194,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
195,Uyanın! Sistem bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
196,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
197,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
198,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
199,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
200,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
201,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
202,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
203,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
204,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
205,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
206,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
207,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
208,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
209,Eğer Şirketler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
210,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
211,Medya bunu saklıyor ama gerçek şu: aşılar tamamen bir yalandan ibaret!,1,Manipulative
212,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
213,Medya bunu saklıyor ama gerçek şu: aşılar tamamen bir yalandan ibaret!,1,Manipulative
214,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
215,Yeni çıkan React Native güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
216,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
217,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
218,Medya bunu saklıyor ama gerçek şu: yeni yasalar tamamen bir yalandan ibaret!,1,Manipulative
219,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
220,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
221,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
222,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
223,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
224,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
225,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
226,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
227,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
228,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
229,Yeni çıkan Python güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
230,Eğer Sistem güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
231,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
232,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
233,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
234,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
235,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
236,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
237,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
238,Eğer Malum kişiler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
239,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
240,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
241,Yeni çıkan Docker güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
242,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
243,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
244,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
245,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
246,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
247,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
248,Medya bunu saklıyor ama gerçek şu: aşılar tamamen bir yalandan ibaret!,1,Manipulative
249,Yeni çıkan React Native güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
250,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
251,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
252,Yeni çıkan React Native güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
253,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
254,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
255,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
256,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
257,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
258,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
259,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
260,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
261,Yeni çıkan Docker güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
262,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
263,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
264,Eğer Malum kişiler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
265,Eğer Şirketler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
266,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
267,Uyanın! Sistem bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
268,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
269,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
270,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
271,Uyanın! Dış güçler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
272,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
273,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
274,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
275,Yazılım öğrenmek isteyenler için harika bir kaynak buldum.,0,Neutral
276,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
277,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
278,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
279,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
280,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
281,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
282,Uyanın! Sistem bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
283,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
284,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
285,Uyanın! Malum kişiler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
286,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
287,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
288,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
289,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
290,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
291,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
292,Eğer Malum kişiler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
293,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
294,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
295,Yeni çıkan Unity 6 güncellemesini denediniz mi? Performans artışı harika.,0,Neutral
296,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
297,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
298,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
299,Uyanın! Dış güçler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
300,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
301,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
302,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
